iter	Passed	Remaining
874	29709	72152
875	29735	72098
876	29759	72041
877	29788	71995
878	29815	71943
879	29841	71890
880	29866	71835
881	29893	71785
882	29923	71742
883	29950	71691
884	29982	71653
885	30007	71597
886	30038	71556
887	30065	71506
888	30089	71449
889	30112	71389
890	30137	71334
891	30168	71294
892	30198	71251
893	30226	71205
894	30253	71153
895	30285	71116
896	30312	71067
897	30343	71025
898	30370	70976
899	30394	70921
900	30421	70870
901	30454	70834
902	30482	70787
903	30508	70735
904	30532	70679
905	30559	70631
906	30583	70575
907	30611	70526
908	30636	70474
909	30665	70428
910	30690	70376
911	30717	70326
912	30744	70278
913	30779	70246
914	30805	70195
915	30828	70139
916	30858	70096
917	30890	70058
918	30918	70012
919	30946	69966
920	30975	69921
921	30998	69864
922	31024	69812
923	31047	69755
924	31074	69706
925	31107	69671
926	31131	69618
927	31155	69562
928	31185	69521
929	31221	69492
930	31244	69436
931	31270	69385
932	31296	69334
933	31319	69279
934	31345	69227
935	31369	69174
936	31392	69117
937	31418	69066
938	31443	69014
939	31468	68962
940	31497	68919
941	31526	68875
942	31550	68821
943	31574	68767
944	31599	68716
945	31627	68671
946	31655	68624
947	31683	68581
948	31710	68533
949	31735	68480
950	31760	68430
951	31785	68378
952	31810	68327
953	31837	68279
954	31861	68227
955	31886	68176
956	31912	68127
957	31940	68082
958	31964	68028
959	31991	67981
960	32016	67931
961	32043	67883
962	32070	67838
963	32099	67796
964	32127	67751
965	32151	67697
966	32175	67644
967	32199	67592
968	32225	67543
969	32251	67496
970	32275	67443
971	32304	67400
972	32335	67363
973	32360	67312
974	32385	67261
975	32409	67209
976	32433	67157
977	32458	67107
978	32481	67053
979	32517	67025
980	32544	66980
981	32570	66932
982	32599	66889
983	32627	66847
984	32656	66804
985	32685	66764
986	32715	66723
987	32744	66682
988	32770	66635
989	32795	66584
990	32825	66546
991	32854	66504
992	32880	66456
993	32907	66410
994	32941	66379
995	32974	66347
996	33001	66301
997	33031	66262
998	33057	66214
999	33083	66166
1000	33108	66118
1001	33136	66075
1002	33163	66028
1003	33190	65983
1004	33236	65977
1005	33269	65943
1006	33300	65906
1007	33325	65858
1008	33355	65817
1009	33386	65781
1010	33420	65749
1011	33449	65709
1012	33481	65674
1013	33510	65632
1014	33539	65592
1015	33566	65548
1016	33595	65505
1017	33624	65464
1018	33651	65421
1019	33680	65380
1020	33710	65341
1021	33743	65306
1022	33769	65261
1023	33809	65241
1024	33836	65197
1025	33866	65158
1026	33895	65117
1027	33924	65077
1028	33951	65033
1029	33977	64986
1030	34001	64936
1031	34025	64885
1032	34053	64842
1033	34079	64797
1034	34102	64745
1035	34127	64697
1036	34159	64662
1037	34187	64619
1038	34224	64594
1039	34261	64569
1040	34290	64528
1041	34324	64498
1042	34353	64457
1043	34390	64433
1044	34458	64464
1045	34490	64429
1046	34519	64390
1047	34546	64346
1048	34576	64308
1049	34603	64264
1050	34633	64224
1051	34657	64175
1052	34685	64133
1053	34719	64102
1054	34751	64068
